UnitNo,Region,RegionCode,NonUtcBU,NonUtcBUCode,BU,BUCode,LocationCode,ProductLine,SAMClassCode,SAMClass,RevenueStatus,Make,Model,ModelYear,EngineModel,VIN,OdometerMiles,TermOutDate,NBV,BookLife,Age,CustomerNo,CustomerName,RatedMargin12Mo,ActualMargin12Mo,RatedMiles12Mo,ActualMiles12Mo,FinalMVAType,MVATurnInDate,MVAFinalApproval,MVAApprovalDate,EndBillDate,AccountingStatus,OSECondition,OSEStatus,DispConditionCode,DepositDate,DepositStatus,LTDMargin,LTDMiles,Modified,Created,Action,UTCAcceptedDate,UTCAcceptedLoc,DeprAmount,UTCAcceptedPL,OSCost,DeId,GoNoGo,IsRR
147001,FMS EAST REGION,3450,GEORGIA CBU,3339,GEORGIA CBU,3339,1493,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2015,ISB'13 220/2300,1FVACWDU7FHGJ9286,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147005,FMS EAST REGION,3450,GEORGIA CBU,3339,GEORGIA CBU,3339,608,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2015,ISB'13 220/2300,1FVACWDU3FHGJ9303,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,16500,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147008,FMS EAST REGION,3450,FLORIDA CBU,3343,FLORIDA CBU,3343,474,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2015,ISB'13 220/2300,1FVACWDU9FHGS8149,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,-2900,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147011,FMS EAST REGION,3450,GEORGIA CBU,3339,GEORGIA CBU,3339,500,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,3ALACWDU7EDFV8350,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,4500,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147030,CENTRAL REGION,3472,MID SOUTH CBU,3092,MID SOUTH CBU,3092,514,RPM,51,Truck (No Body) >16K <=26K GVW,NLE    ,FRTL,M2 106                        ,2015,ISB'13 220/2300,1FVACWDU4FHGS8138,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147031,CENTRAL REGION,3472,MID SOUTH CBU,3092,MID SOUTH CBU,3092,1125,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,3ALACWDU2EDFV8367,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147041,CENTRAL REGION,3472,MID SOUTH CBU,3092,MID SOUTH CBU,3092,1125,RPM,51,Truck (No Body) >16K <=26K GVW,NLE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,3ALACWDU6EDFV8274,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,22200,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147047,RVS INTRNL FLEET VS,5349,UTC WEST REGION,3402,RVS UTC WEST FLEET,3408,3408,OFFL,50,Truck >16K <=26K GVW <=20 ft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,01:32.9,00:34.0,U,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147048,RVS INTRNL FLEET VS,5349,UTC WEST REGION,3402,RVS UTC WEST FLEET,3408,3408,OFFL,125,Unidentifiable Truck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,01:32.9,00:15.6,U,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147049,WEST REGION,3488,SOUTHERN PLAINS CBU,3112,SOUTHERN PLAINS CBU,3112,859,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2013,ISB'10 6.3L 220/2300,1FVACWDU5DHFE9523,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
